Clf,Score
"Clf Std ""age""",5.0
"Clf MultNeg ""age""",10.0
"Clf Binning ""age""",14.0
"Clf Zeros ""age""",16.0
"Clf Invertion ""age""",19.0
"Clf Ordernation_Up ""age""",21.0
"Clf MultNeg ""pres""",23.0
"Clf Zeros ""pres""",23.0
"Clf Std ""plas""",26.0
"Clf Ordernation_Up ""pres""",28.0
"Clf MultNeg ""plas""",29.0
"Clf Invertion ""plas""",29.0
"Clf Invertion ""pres""",31.0
"Clf Ordernation_Up ""plas""",33.0
"Clf MultNeg ""mass""",34.0
"Clf Binning ""plas""",34.0
"Clf MultNeg ""preg""",35.0
"Clf MultNeg ""pedi""",35.0
"Clf Zeros ""preg""",35.0
"Clf Ordernation_Up ""preg""",35.0
"Clf Invertion ""mass""",35.0
"Clf Zscore ""age""",35.0
"Clf Binning ""preg""",36.0
"Clf Zeros ""plas""",36.0
"Clf Zeros ""pedi""",36.0
"Clf Ordernation_Up ""pedi""",36.0
"Clf Invertion ""preg""",36.0
"Clf Std ""preg""",36.0
"Clf Std ""pedi""",36.0
Clf original data,37.0
"Clf MultNeg ""skin""",37.0
"Clf MultNeg ""insu""",37.0
"Clf Binning ""pres""",37.0
"Clf Binning ""skin""",37.0
"Clf Binning ""insu""",37.0
"Clf Binning ""mass""",37.0
"Clf Binning ""pedi""",37.0
"Clf Zeros ""skin""",37.0
"Clf Zeros ""insu""",37.0
"Clf Zeros ""mass""",37.0
"Clf Ordernation_Up ""skin""",37.0
"Clf Ordernation_Up ""insu""",37.0
"Clf Ordernation_Up ""mass""",37.0
"Clf Invertion ""skin""",37.0
"Clf Invertion ""insu""",37.0
"Clf Invertion ""pedi""",37.0
"Clf Std ""pres""",37.0
"Clf Std ""skin""",37.0
"Clf Std ""insu""",37.0
"Clf Std ""mass""",37.0
"Clf Zscore ""preg""",37.0
"Clf Zscore ""plas""",37.0
"Clf Zscore ""pres""",37.0
"Clf Zscore ""skin""",37.0
"Clf Zscore ""insu""",37.0
"Clf Zscore ""mass""",37.0
"Clf Zscore ""pedi""",37.0
