Clf,Theta
Clf original data,62301500000.5
"Clf MultNeg ""preg""",166137329595.0608
"Clf MultNeg ""plas""",166137329595.0608
"Clf MultNeg ""pres""",166137329595.0608
"Clf MultNeg ""skin""",62301500000.5
"Clf MultNeg ""insu""",62301500000.5
"Clf MultNeg ""mass""",166137329595.0608
"Clf MultNeg ""pedi""",166137329595.0608
"Clf MultNeg ""age""",166137329595.0608
"Clf Binning ""preg""",166137329595.0608
"Clf Binning ""plas""",166137329595.0608
"Clf Binning ""pres""",166137329595.0608
"Clf Binning ""skin""",62301500000.5
"Clf Binning ""insu""",62301500000.5
"Clf Binning ""mass""",166137329595.0608
"Clf Binning ""pedi""",166137329595.0608
"Clf Binning ""age""",166137329595.0608
"Clf Zeros ""preg""",166137329595.0608
"Clf Zeros ""plas""",166137329595.0608
"Clf Zeros ""pres""",166137329595.0608
"Clf Zeros ""skin""",62301500000.5
"Clf Zeros ""insu""",62301500000.5
"Clf Zeros ""mass""",166137329595.0608
"Clf Zeros ""pedi""",166137329595.0608
"Clf Zeros ""age""",166137329595.0608
"Clf Ordernation_Up ""preg""",166137329595.0608
"Clf Ordernation_Up ""plas""",166137329595.0608
"Clf Ordernation_Up ""pres""",166137329595.0608
"Clf Ordernation_Up ""skin""",62301500000.5
"Clf Ordernation_Up ""insu""",62301500000.5
"Clf Ordernation_Up ""mass""",166137329595.0608
"Clf Ordernation_Up ""pedi""",166137329595.0608
"Clf Ordernation_Up ""age""",166137329595.0608
"Clf Invertion ""preg""",166137329595.0608
"Clf Invertion ""plas""",166137329595.0608
"Clf Invertion ""pres""",166137329595.0608
"Clf Invertion ""skin""",62301500000.5
"Clf Invertion ""insu""",62301500000.5
"Clf Invertion ""mass""",166137329595.0608
"Clf Invertion ""pedi""",166137329595.0608
"Clf Invertion ""age""",166137329595.0608
"Clf Std ""preg""",166137329595.0608
"Clf Std ""plas""",166137329595.0608
"Clf Std ""pres""",166137329595.0608
"Clf Std ""skin""",62301500000.5
"Clf Std ""insu""",62301500000.5
"Clf Std ""mass""",166137329595.0608
"Clf Std ""pedi""",166137329595.0608
"Clf Std ""age""",166137329595.0608
"Clf Zscore ""preg""",62301500000.5
"Clf Zscore ""plas""",166137329595.0608
"Clf Zscore ""pres""",62301500000.5
"Clf Zscore ""skin""",62301500000.5
"Clf Zscore ""insu""",62301500000.5
"Clf Zscore ""mass""",62301500000.5
"Clf Zscore ""pedi""",62301500000.5
"Clf Zscore ""age""",166137329595.0608
