,Discriminacao,Dificuldade,Adivinhacao
V0,3.325,-2.818,0.087
V1,-3.593,1.624,0.112
V2,3.831,-2.545,0.111
V3,0.0,119545000000.0,0.05
V4,-0.644,1.95,0.138
V5,-8.865,0.493,0.03
V6,0.473,-5.639,0.082
V7,-3.351,2.185,0.125
V8,-7.73,0.464,0.45
V9,-3.592,1.623,0.114
V10,-4.387,1.314,0.117
V11,-3.586,1.623,0.115
V12,0.458,-5.842,0.079
V13,2.27,-2.933,0.125
V14,-2.319,1.276,0.062
V15,-8.858,0.493,0.03
V16,-3.352,2.184,0.127
V17,-4.229,1.612,0.051
V18,-1.951,0.612,0.108
V19,-3.352,2.184,0.127
V20,-0.261,5.33,0.152
V21,3.112,-2.599,0.114
V22,0.0,119950700000.0,0.05
V23,-3.352,2.184,0.128
V24,-8.852,0.493,0.03
V25,2.272,-2.933,0.126
V26,-0.515,3.778,0.096
V27,0.0,120359300000.0,0.051
V28,-3.353,2.184,0.129
V29,-3.353,2.184,0.129
V30,-0.712,1.78,0.133
V31,-7.701,0.066,0.027
V32,-3.582,1.623,0.118
V33,-4.387,1.313,0.121
V34,-5.213,1.345,0.051
V35,3.116,-2.517,0.492
V36,0.457,-5.846,0.08
V37,-6.775,0.155,0.426
V38,0.0,120770600000.0,0.051
V39,-1.079,1.806,0.09
V40,-3.354,2.184,0.13
V41,0.0,121184700000.0,0.052
V42,-3.354,2.184,0.131
V43,-3.581,1.622,0.119
V44,-3.354,2.184,0.132
V45,-7.733,0.463,0.45
V46,-1.548,0.977,0.087
V47,-4.23,1.612,0.051
V48,-3.355,2.184,0.132
V49,0.155,-13.318,0.08
V50,0.0,121601700000.0,0.052
V51,-4.23,1.612,0.052
V52,3.83,-2.545,0.112
V53,-3.579,1.622,0.121
V54,-1.407,1.051,0.099
V55,-4.23,1.612,0.052
V56,-3.579,1.622,0.121
V57,-7.737,0.463,0.45
V58,-0.433,1.455,0.23
V59,-4.23,1.612,0.052
V60,-3.355,2.184,0.133
V61,-5.491,1.504,0.43
V62,-1.395,1.244,0.083
V63,-4.23,1.611,0.052
V64,-1.432,1.025,0.112
V65,-3.578,1.622,0.122
V66,-4.23,1.611,0.053
V67,0.412,-4.836,0.091
V68,-3.577,1.622,0.122
V69,3.082,-2.843,0.112
V70,-5.058,0.513,0.561
V71,-1.397,1.245,0.078
V72,-3.577,1.622,0.123
V73,-4.386,1.311,0.125
V74,-3.356,2.184,0.136
V75,0.043,-27.759,0.247
V76,-1.399,1.246,0.1
V77,-1.433,1.441,0.069
V78,-3.575,1.622,0.124
V79,0.026,-53.905,0.163
V80,-3.575,1.622,0.124
V81,0.0,122021600000.0,0.053
V82,-3.357,2.184,0.137
V83,-3.357,2.184,0.137
V84,2.983,-3.156,0.075
V85,-7.741,0.463,0.45
V86,-5.213,1.345,0.051
V87,-0.283,6.88,0.097
V88,0.0,122444400000.0,0.053
V89,-0.143,5.656,0.186
V90,-8.82,0.494,0.03
V91,0.0,122870100000.0,0.053
V92,-3.358,2.184,0.138
V93,0.0,123298800000.0,0.054
V94,-7.744,0.463,0.45
V95,-1.827,0.825,0.09
V96,-1.403,1.05,0.099
V97,-3.358,2.184,0.139
V98,-0.471,4.655,0.088
V99,0.0,123730500000.0,0.054
V100,-0.553,6.701,0.076
V101,-4.23,1.611,0.053
V102,-1.405,1.054,0.096
V103,-3.358,2.184,0.139
V104,1.279,-3.073,0.076
V105,-3.358,2.184,0.14
V106,-3.571,1.621,0.128
V107,-7.748,0.463,0.449
V108,-3.57,1.621,0.128
V109,3.733,-2.567,0.125
V110,-1.454,0.976,0.132
V111,-0.213,6.51,0.164
V112,3.113,-2.599,0.114
V113,-7.751,0.463,0.449
V114,-7.755,0.463,0.449
V115,-3.359,2.184,0.141
V116,0.377,-5.295,0.094
V117,-4.384,1.31,0.13
V118,-4.383,1.31,0.131
V119,-7.758,0.463,0.449
V120,-3.568,1.621,0.13
V121,-0.118,10.401,0.137
V122,2.004,-3.283,0.098
V123,1.274,-3.258,0.071
V124,-0.268,4.179,0.196
V125,-3.36,2.184,0.143
V126,-5.213,1.345,0.051
V127,0.456,-5.853,0.081
V128,-8.804,0.494,0.03
V129,-1.577,1.596,0.064
V130,1.046,-3.558,0.067
V131,-3.567,1.62,0.131
V132,1.646,-2.55,0.067
V133,-1.219,1.409,0.083
V134,-0.43,3.491,0.12
V135,-8.801,0.494,0.03
V136,-4.382,1.309,0.133
V137,-4.382,1.309,0.133
V138,-3.36,2.184,0.146
V139,-5.064,0.512,0.562
V140,-2.307,1.276,0.062
V141,-0.305,4.197,0.122
V142,-4.382,1.309,0.134
V143,-0.182,7.216,0.124
V144,-8.794,0.495,0.03
V145,-1.858,1.014,0.071
V146,-3.361,2.184,0.147
V147,-3.361,2.183,0.147
V148,-1.106,2.092,0.071
V149,-3.361,2.183,0.148
V150,-1.434,1.441,0.07
V151,0.719,-3.691,0.083
V152,3.174,-2.823,0.09
V153,-1.434,1.44,0.071
V154,-4.23,1.611,0.053
V155,-3.562,1.62,0.135
V156,-1.269,1.573,0.074
V157,0.986,-3.22,0.091
V158,-3.361,2.183,0.149
V159,3.32,-2.543,0.099
V160,-2.399,0.858,0.065
V161,3.178,-2.819,0.091
V162,-3.361,2.183,0.149
V163,-7.761,0.463,0.448
V164,-3.362,2.183,0.15
V165,0.805,-3.156,0.086
V166,-0.247,6.611,0.119
V167,-1.414,1.043,0.099
V168,-4.756,-0.602,0.515
V169,-4.231,1.611,0.054
V170,-1.455,0.975,0.133
V171,-0.527,4.794,0.082
V172,-1.455,0.973,0.134
V173,-6.458,1.06,0.518
V174,-1.1,1.354,0.127
V175,0.991,-3.785,0.21
V176,-0.434,3.474,0.119
V177,-3.362,2.183,0.15
V178,-0.309,3.063,0.183
V179,0.0,124165200000.0,0.055
V180,0.052,-40.006,0.099
V181,-0.325,5.032,0.107
V182,-1.813,0.837,0.079
V183,-1.398,2.333,0.122
V184,-4.674,1.345,0.054
V185,-3.564,1.619,0.137
V186,-3.362,2.183,0.151
V187,-1.814,0.836,0.079
V188,-1.401,1.241,0.079
V189,-3.589,0.053,0.246
V190,-1.456,0.972,0.135
V191,-3.559,1.619,0.138
V192,0.0,124603000000.0,0.055
V193,-5.41,1.098,0.107
V194,-4.376,1.308,0.139
V195,3.569,-2.335,0.131
V196,-4.984,0.499,0.58
V197,-10.033,0.38,0.173
V198,-1.22,1.406,0.085
V199,0.275,-5.689,0.115
V200,-3.595,0.052,0.247
V201,-1.26,1.594,0.076
V202,-5.27,1.562,0.047
V203,-1.249,3.182,0.071
V204,-1.249,3.181,0.072
V205,-6.304,1.347,0.049
V206,-1.059,1.766,0.114
V207,-5.27,1.562,0.048
V208,-5.828,-0.026,0.231
V209,-4.376,1.308,0.139
V210,-3.613,0.049,0.249
V211,-1.249,3.18,0.072
V212,-4.231,1.611,0.054
V213,1.112,-3.312,0.082
V214,-5.27,1.562,0.048
V215,-5.411,1.097,0.107
V216,-10.036,0.38,0.173
V217,-5.27,1.562,0.048
V218,-5.271,1.562,0.049
V219,-1.832,0.822,0.09
V220,-0.157,11.377,0.112
V221,-4.994,0.498,0.581
V222,-6.304,1.347,0.049
V223,-4.674,1.344,0.055
V224,-4.375,1.308,0.14
V225,0.33,-6.878,0.099
V226,-4.674,1.344,0.055
V227,-4.674,1.344,0.055
V228,-2.667,0.474,0.089
V229,-5.003,0.497,0.582
V230,-0.096,13.3,0.13
