Metodo,Acuracia
Clf original data,1.0
"Clf MultNeg ""preg""",0.8571428571428571
"Clf MultNeg ""plas""",0.6363636363636364
"Clf MultNeg ""pres""",0.922077922077922
"Clf MultNeg ""skin""",1.0
"Clf MultNeg ""insu""",1.0
"Clf MultNeg ""mass""",0.8961038961038961
"Clf MultNeg ""pedi""",0.8658008658008658
"Clf MultNeg ""age""",0.8571428571428571
"Clf Binning ""preg""",0.9826839826839827
"Clf Binning ""plas""",0.7705627705627706
"Clf Binning ""pres""",0.9913419913419913
"Clf Binning ""skin""",1.0
"Clf Binning ""insu""",1.0
"Clf Binning ""mass""",0.9437229437229437
"Clf Binning ""pedi""",0.974025974025974
"Clf Binning ""age""",0.9004329004329005
"Clf Zeros ""preg""",0.948051948051948
"Clf Zeros ""plas""",0.8484848484848485
"Clf Zeros ""pres""",0.9393939393939394
"Clf Zeros ""skin""",1.0
"Clf Zeros ""insu""",1.0
"Clf Zeros ""mass""",0.9437229437229437
"Clf Zeros ""pedi""",0.9523809523809523
"Clf Zeros ""age""",0.9047619047619048
"Clf Ordernation_Up ""preg""",0.9134199134199135
"Clf Ordernation_Up ""plas""",0.7359307359307359
"Clf Ordernation_Up ""pres""",0.948051948051948
"Clf Ordernation_Up ""skin""",1.0
"Clf Ordernation_Up ""insu""",1.0
"Clf Ordernation_Up ""mass""",0.935064935064935
"Clf Ordernation_Up ""pedi""",0.9047619047619048
"Clf Ordernation_Up ""age""",0.9047619047619048
"Clf Invertion ""preg""",0.9134199134199135
"Clf Invertion ""plas""",0.7012987012987013
"Clf Invertion ""pres""",0.9567099567099567
"Clf Invertion ""skin""",1.0
"Clf Invertion ""insu""",1.0
"Clf Invertion ""mass""",0.9264069264069265
"Clf Invertion ""pedi""",0.9393939393939394
"Clf Invertion ""age""",0.9004329004329005
"Clf Std ""preg""",0.961038961038961
"Clf Std ""plas""",0.36363636363636365
"Clf Std ""pres""",0.974025974025974
"Clf Std ""skin""",1.0
"Clf Std ""insu""",1.0
"Clf Std ""mass""",0.9437229437229437
"Clf Std ""pedi""",0.8744588744588745
"Clf Std ""age""",0.8614718614718615
"Clf Zscore ""preg""",1.0
"Clf Zscore ""plas""",0.9956709956709957
"Clf Zscore ""pres""",1.0
"Clf Zscore ""skin""",1.0
"Clf Zscore ""insu""",1.0
"Clf Zscore ""mass""",1.0
"Clf Zscore ""pedi""",1.0
"Clf Zscore ""age""",0.9913419913419913
